MAC-Adresse,Distanz (cm)
0x0001,2859
0x0001,2857
0x0001,2856
0x0001,2857
0x0001,2858
0x0001,2854
0x0001,2850
0x0001,2857
0x0001,2854
0x0001,2853
0x0001,2851
0x0001,2859
0x0001,2856
0x0001,2856
0x0001,2854
0x0001,2853
0x0001,2855
0x0001,2853
0x0001,2855
0x0001,2857
0x0001,2856
0x0001,2853
0x0001,2855
0x0001,2859
0x0001,2858
0x0001,2855
0x0001,2854
0x0001,2854
0x0001,2858
0x0001,2855
0x0001,2856
0x0001,2853
0x0001,2864
0x0001,2861
0x0001,2859
0x0001,2855
0x0001,2855
0x0001,2856
