MAC-Adresse,Distanz (cm)
0x0002,39
0x0002,36
0x0002,32
0x0002,36
0x0002,36
0x0002,36
0x0002,36
0x0002,37
0x0002,39
0x0002,39
0x0002,32
0x0002,35
0x0002,37
0x0002,34
0x0002,36
0x0002,37
0x0002,36
0x0002,37
0x0002,38
0x0002,34
0x0002,38
0x0002,37
0x0002,38
0x0002,37
0x0002,37
0x0002,37
0x0002,36
0x0002,39
0x0002,38
0x0002,35
0x0002,38
0x0002,37
0x0002,39
0x0002,38
0x0002,37
0x0002,39
0x0002,32
0x0002,32
0x0002,37
0x0002,37
0x0002,38
0x0002,37
0x0002,38
0x0002,38
0x0002,38
0x0002,36
0x0002,40
0x0002,36
0x0002,39
0x0002,36
0x0002,35
0x0002,33
0x0002,33
0x0002,37
0x0002,36
0x0002,38
0x0002,32
0x0002,37
0x0002,37
0x0002,36
0x0002,39
0x0002,38
0x0002,31
0x0002,31
0x0002,36
0x0002,38
0x0002,39
0x0002,35
0x0002,29
0x0002,31
0x0002,39
0x0002,38
0x0002,38
0x0002,39
0x0002,36
0x0002,35
0x0002,34
0x0002,39
0x0002,37
0x0002,36
0x0002,37
0x0002,39
0x0002,38
0x0002,31
0x0002,38
0x0002,37
0x0002,38
0x0002,39
0x0002,32
0x0002,32
0x0002,39
0x0002,34
0x0002,37
0x0002,35
0x0002,32
0x0002,40
0x0002,38
0x0002,37
0x0002,36
0x0002,36
0x0002,39
0x0002,38
0x0002,37
0x0002,40
0x0002,41
0x0002,36
0x0002,35
0x0002,38
0x0002,36
0x0002,37
0x0002,35
0x0002,34
0x0002,30
0x0002,40
0x0002,38
0x0002,38
0x0002,39
0x0002,32
0x0002,38
0x0002,38
0x0002,37
0x0002,39
0x0002,37
0x0002,38
0x0002,36
0x0002,32
0x0002,38
0x0002,37
0x0002,38
0x0002,35
0x0002,38
0x0002,31
0x0002,35
0x0002,37
0x0002,37
0x0002,35
0x0002,40
0x0002,39
0x0002,36
0x0002,39
0x0002,39
0x0002,38
0x0002,36
0x0002,35
0x0002,37
0x0002,37
0x0002,33
0x0002,36
0x0002,39
0x0002,38
0x0002,38
0x0002,33
0x0002,39
0x0002,39
0x0002,28
0x0002,37
0x0002,38
0x0002,31
0x0002,37
0x0002,38
0x0002,37
0x0002,37
0x0002,39
0x0002,36
0x0002,34
0x0002,37
0x0002,35
0x0002,37
0x0002,37
0x0002,40
0x0002,35
0x0002,39
0x0002,37
0x0002,39
0x0002,37
0x0002,38
0x0002,39
0x0002,40
0x0002,37
0x0002,35
0x0002,39
0x0002,35
0x0002,39
0x0002,38
0x0002,37
0x0002,37
0x0002,37
0x0002,32
0x0002,38
0x0002,36
0x0002,36
0x0002,37
0x0002,39
0x0002,37
0x0002,37
0x0002,37
0x0002,36
0x0002,37
0x0002,38
0x0002,37
0x0002,36
0x0002,32
0x0002,36
0x0002,38
0x0002,33
0x0002,36
0x0002,39
0x0002,39
0x0002,39
0x0002,35
0x0002,33
0x0002,35
0x0002,37
0x0002,36
0x0002,36
0x0002,38
0x0002,38
0x0002,39
0x0002,38
0x0002,37
0x0002,37
0x0002,38
0x0002,34
0x0002,38
0x0002,32
0x0002,34
0x0002,38
0x0002,38
0x0002,38
0x0002,37
0x0002,34
0x0002,37
0x0002,37
0x0002,40
0x0002,38
0x0002,36
0x0002,38
0x0002,39
0x0002,38
0x0002,37
0x0002,32
0x0002,37
0x0002,37
0x0002,38
0x0002,37
0x0002,33
0x0002,38
0x0002,40
0x0002,39
0x0002,33
0x0002,37
0x0002,38
0x0002,37
0x0002,36
0x0002,37
0x0002,35
0x0002,37
0x0002,37
0x0002,32
0x0002,37
0x0002,37
0x0002,36
0x0002,38
0x0002,38
0x0002,32
0x0002,38
0x0002,36
0x0002,37
0x0002,36
0x0002,37
0x0002,39
0x0002,37
0x0002,32
0x0002,31
0x0002,33
0x0002,37
0x0002,35
0x0002,38
0x0002,40
0x0002,36
0x0002,39
0x0002,38
0x0002,38
0x0002,38
0x0002,32
0x0002,39
0x0002,36
0x0002,39
0x0002,33
0x0002,39
0x0002,36
0x0002,34
0x0002,38
0x0002,36
0x0002,38
0x0002,37
0x0002,38
0x0002,34
0x0002,33
0x0002,32
0x0002,39
