MAC-Adresse,Distanz (cm)
0x0002,195
0x0002,195
0x0002,190
0x0002,190
0x0002,189
0x0002,189
0x0002,190
0x0002,190
0x0002,191
0x0002,190
0x0002,190
0x0002,189
0x0002,188
0x0002,189
0x0002,189
0x0002,191
0x0002,189
0x0002,191
0x0002,190
0x0002,189
0x0002,187
0x0002,189
0x0002,190
0x0002,190
0x0002,187
0x0002,190
0x0002,191
0x0002,189
0x0002,189
0x0002,186
0x0002,189
0x0002,190
0x0002,186
0x0002,190
0x0002,190
0x0002,190
0x0002,189
0x0002,189
0x0002,190
0x0002,190
0x0002,191
0x0002,190
0x0002,190
0x0002,190
0x0002,191
0x0002,191
0x0002,191
0x0002,188
0x0002,188
0x0002,190
0x0002,190
0x0002,191
0x0002,188
0x0002,188
0x0002,188
0x0002,187
0x0002,189
0x0002,190
0x0002,186
0x0002,186
0x0002,187
0x0002,189
0x0002,190
0x0002,188
0x0002,190
0x0002,187
0x0002,189
0x0002,188
0x0002,189
0x0002,190
0x0002,191
0x0002,188
0x0002,190
0x0002,190
0x0002,188
0x0002,190
0x0002,188
0x0002,187
0x0002,188
0x0002,190
0x0002,188
0x0002,187
0x0002,188
0x0002,187
0x0002,187
0x0002,187
0x0002,190
0x0002,188
0x0002,189
0x0002,189
0x0002,187
0x0002,189
0x0002,190
0x0002,190
0x0002,187
0x0002,190
0x0002,190
0x0002,189
0x0002,186
0x0002,190
0x0002,190
0x0002,187
0x0002,190
0x0002,188
0x0002,188
0x0002,187
0x0002,189
0x0002,185
0x0002,190
0x0002,189
0x0002,188
0x0002,189
0x0002,188
0x0002,189
0x0002,190
0x0002,189
0x0002,190
0x0002,186
0x0002,190
0x0002,188
0x0002,191
0x0002,188
0x0002,188
0x0002,189
0x0002,189
0x0002,188
0x0002,189
0x0002,188
0x0002,190
0x0002,188
0x0002,188
0x0002,188
0x0002,190
0x0002,188
0x0002,186
0x0002,190
0x0002,187
0x0002,189
0x0002,187
0x0002,187
0x0002,189
0x0002,188
0x0002,189
0x0002,189
0x0002,187
0x0002,189
0x0002,189
0x0002,186
0x0002,188
0x0002,187
0x0002,189
0x0002,188
0x0002,190
0x0002,189
0x0002,188
0x0002,185
0x0002,186
0x0002,189
0x0002,190
0x0002,189
0x0002,189
0x0002,186
0x0002,189
0x0002,190
0x0002,190
0x0002,189
0x0002,190
0x0002,190
0x0002,188
0x0002,190
0x0002,188
0x0002,190
0x0002,190
0x0002,190
0x0002,189
0x0002,190
0x0002,189
0x0002,190
0x0002,188
0x0002,190
0x0002,189
0x0002,188
0x0002,188
0x0002,191
0x0002,190
0x0002,188
0x0002,188
0x0002,193
0x0002,190
0x0002,190
0x0002,186
0x0002,189
0x0002,189
0x0002,189
0x0002,187
0x0002,191
0x0002,192
0x0002,190
0x0002,190
0x0002,190
0x0002,189
0x0002,190
0x0002,188
0x0002,191
0x0002,188
0x0002,190
0x0002,192
0x0002,190
0x0002,190
0x0002,189
0x0002,189
0x0002,188
0x0002,188
0x0002,190
0x0002,189
0x0002,190
0x0002,190
0x0002,189
0x0002,190
0x0002,187
0x0002,188
0x0002,190
0x0002,191
0x0002,188
0x0002,189
0x0002,190
0x0002,189
0x0002,187
0x0002,190
0x0002,190
0x0002,189
0x0002,189
0x0002,188
0x0002,189
0x0002,188
0x0002,190
0x0002,190
0x0002,190
0x0002,189
0x0002,190
0x0002,188
0x0002,188
0x0002,189
0x0002,188
0x0002,187
0x0002,188
0x0002,188
0x0002,188
0x0002,184
0x0002,188
0x0002,188
0x0002,190
0x0002,189
0x0002,186
0x0002,191
0x0002,189
0x0002,187
0x0002,189
0x0002,188
0x0002,188
0x0002,188
0x0002,188
0x0002,187
0x0002,188
0x0002,188
0x0002,190
0x0002,187
0x0002,187
0x0002,188
0x0002,187
0x0002,190
0x0002,191
0x0002,188
0x0002,189
0x0002,190
0x0002,189
0x0002,187
0x0002,187
0x0002,189
0x0002,190
0x0002,190
0x0002,189
0x0002,190
0x0002,188
0x0002,189
0x0002,189
0x0002,193
0x0002,191
0x0002,188
0x0002,189
0x0002,188
0x0002,188
0x0002,189
0x0002,189
0x0002,186
0x0002,188
0x0002,189
0x0002,187
0x0002,188
0x0002,190
0x0002,190
0x0002,189
