MAC-Adresse,Distanz (cm)
0x0002,209
0x0002,208
0x0002,211
0x0002,208
0x0002,210
0x0002,209
0x0002,206
0x0002,205
0x0002,203
0x0002,204
0x0002,203
0x0002,204
0x0002,202
0x0002,203
0x0002,204
0x0002,200
0x0002,202
0x0002,203
0x0002,205
0x0002,208
0x0002,213
0x0002,209
0x0002,209
0x0002,204
0x0002,206
0x0002,208
0x0002,209
0x0002,206
0x0002,209
0x0002,210
0x0002,211
0x0002,212
0x0002,211
0x0002,211
0x0002,206
0x0002,213
0x0002,206
0x0002,210
0x0002,207
0x0002,213
0x0002,214
0x0002,206
0x0002,195
0x0002,180
0x0002,207
0x0002,220
0x0002,220
0x0002,211
0x0002,204
0x0002,205
0x0002,210
0x0002,211
0x0002,208
0x0002,203
0x0002,209
0x0002,204
0x0002,205
0x0002,202
0x0002,201
0x0002,204
0x0002,204
0x0002,205
0x0002,202
0x0002,207
0x0002,199
0x0002,203
0x0002,205
0x0002,206
0x0002,205
0x0002,207
0x0002,206
0x0002,207
0x0002,208
0x0002,207
0x0002,211
0x0002,209
0x0002,209
0x0002,207
0x0002,205
0x0002,212
0x0002,210
0x0002,211
0x0002,210
0x0002,212
0x0002,212
0x0002,209
0x0002,208
0x0002,212
0x0002,206
0x0002,204
0x0002,207
0x0002,209
0x0002,209
0x0002,209
0x0002,209
0x0002,207
0x0002,208
0x0002,212
0x0002,209
0x0002,208
0x0002,207
0x0002,206
0x0002,206
0x0002,210
0x0002,210
0x0002,207
0x0002,206
0x0002,207
0x0002,206
0x0002,206
0x0002,208
0x0002,206
0x0002,208
0x0002,209
0x0002,206
0x0002,205
0x0002,206
0x0002,206
0x0002,207
0x0002,206
0x0002,206
0x0002,207
0x0002,206
0x0002,208
0x0002,205
0x0002,208
0x0002,207
0x0002,207
0x0002,209
0x0002,207
0x0002,208
0x0002,208
0x0002,206
0x0002,209
0x0002,206
0x0002,207
0x0002,207
0x0002,207
0x0002,208
0x0002,207
0x0002,211
0x0002,207
0x0002,208
0x0002,206
0x0002,205
0x0002,205
0x0002,207
0x0002,205
0x0002,209
0x0002,207
0x0002,212
0x0002,211
0x0002,208
0x0002,206
0x0002,205
0x0002,210
0x0002,206
0x0002,206
0x0002,207
0x0002,206
0x0002,208
0x0002,208
0x0002,208
0x0002,211
0x0002,209
0x0002,211
0x0002,213
0x0002,207
0x0002,212
0x0002,210
0x0002,212
0x0002,213
0x0002,207
0x0002,206
0x0002,209
0x0002,211
0x0002,213
0x0002,206
0x0002,210
0x0002,212
0x0002,212
0x0002,208
0x0002,214
0x0002,210
0x0002,207
0x0002,210
0x0002,206
0x0002,209
0x0002,210
0x0002,208
0x0002,213
0x0002,213
0x0002,212
0x0002,210
0x0002,209
0x0002,209
0x0002,209
0x0002,211
0x0002,208
0x0002,210
0x0002,204
0x0002,207
0x0002,207
0x0002,204
0x0002,206
0x0002,206
0x0002,208
0x0002,211
0x0002,210
0x0002,208
0x0002,211
0x0002,205
0x0002,207
0x0002,212
0x0002,213
0x0002,208
0x0002,211
0x0002,206
0x0002,211
0x0002,210
0x0002,215
0x0002,213
0x0002,212
0x0002,207
0x0002,207
0x0002,212
0x0002,211
0x0002,207
0x0002,205
0x0002,211
0x0002,212
0x0002,214
0x0002,210
0x0002,208
0x0002,214
0x0002,213
0x0002,205
0x0002,211
0x0002,211
0x0002,207
0x0002,214
0x0002,206
0x0002,206
0x0002,211
0x0002,211
0x0002,207
0x0002,207
0x0002,211
0x0002,210
0x0002,207
0x0002,209
0x0002,208
0x0002,209
0x0002,209
0x0002,209
0x0002,209
0x0002,208
0x0002,207
0x0002,212
0x0002,212
0x0002,209
0x0002,215
0x0002,209
0x0002,209
0x0002,210
0x0002,207
0x0002,206
0x0002,214
0x0002,213
0x0002,213
0x0002,212
0x0002,212
0x0002,212
0x0002,209
0x0002,212
0x0002,215
0x0002,214
0x0002,216
0x0002,212
0x0002,205
0x0002,208
0x0002,213
0x0002,210
0x0002,210
0x0002,212
0x0002,211
0x0002,211
0x0002,211
0x0002,206
0x0002,207
0x0002,210
0x0002,208
0x0002,209
0x0002,212
0x0002,211
0x0002,208
0x0002,212
0x0002,208
0x0002,208
0x0002,213
0x0002,207
0x0002,206
